Lista empresas
BCO BRASIL S.A.
BRB BANCO DE BRASILIA S.A.
CENTRAIS ELET BRAS S.A. - ELETROBRAS
COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB
SHOPPING CENTER TACARUNA SA
NEUMARKT TRADE AND FINANCIAL CENTER S/A
CIMS S.A.
TELEC BRASILEIRAS S.A. TELEBRAS
KOSMOS COMÉRCIO DE VESTUÁRIO S/A - EM RECUPERAÇÃO JUDICIAL
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
BNDES PARTICIPACOES S.A. - BNDESPAR
LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.
BANCO INTER S.A.
ELETRON S.A.
SERRA AZUL WATER PARK SA
STATKRAFT ENERGIAS RENOVAVEIS S.A.
INVESTCO S.A.
LITEL PARTICIPACOES S.A.
AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL
CONC RODOVIA PRES. DUTRA S.A.
ENERGISA S.A.
SANTA CATARINA PART INVEST SA
FERROVIA CENTRO-ATLANTICA S.A.
CONC RIO-TERESOPOLIS S.A.
LINHA AMARELA S.A. - LAMSA
CAIXA ADM DIV PUB ESTADUAL SA
CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO
NEOENERGIA S.A.
ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR
BBM LOGÍSTICA S.A.
ITAITINGA PARTICIPACOES S.A.
RUMO MALHA SUL S.A.
GRUCAI PARTICIPACOES S.A.
WTC AMAZONAS SUITE HOTEL S.A.
MRS LOGISTICA S.A.
GAFISA S.A.
INVESTIMENTOS BEMGE S.A.
SANEAMENTO DE GOIAS SA
BRF S.A.
524 PARTICIPACOES S.A.
BV LEASING - ARRENDAMENTO MERCANTIL S.A.
CSU DIGITAL S.A.
LIGHT ENERGIA S.A.
CIA PARTICIPACOES ALIANCA DA BAHIA
SUL 116 PARTICIPACOES S.A.
EMPRESA NAC COM REDITO PART S.A.ENCORPAR
WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.
SUDESTE S.A.
NUMERAL 80 PARTICIPAÇÕES S.A.
VIRGO II COMPANHIA DE SECURITIZACAO
PORTO SEGURO S.A.
UPTICK PARTICIPACOES S.A.
DEXXOS PARTICIPAÇÕES S.A.
CEL PARTICIPAÇÕES S.A. - CELPAR
YBYRÁ CAPITAL S.A.
RDN CONCESSÕES E PARTICIPAÇÕES S.A.
EMPRESA CONC RODOV DO NORTE S.A.ECONORTE
INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA
TRANSNORDESTINA LOGISTICA SA
LOCALIZA FLEET S.A.
PRODUTORES ENERGET.DE MANSO S.A.- PROMAN
EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.
EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.
OPPORTUNITY ENERGIA E PARTICIPACOES S.A. - EM LIQUIDAÇÃO
ELEKTRO REDES S.A.
LONGDIS S.A.
TEGMA GESTAO LOGISTICA S.A.
LWSA S/A
LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A
PADTEC HOLDING S.A.
LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL
PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO
RUMO S.A.
ITAPEBI GERACAO DE ENERGIA S.A.
CONC ROD.OESTE SP VIAOESTE S.A
TIM S.A.
CPFL ENERGIA S.A.
CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN
FUTURETEL S.A. - EM LIQUIDAÇÃO
ENGIE BRASIL ENERGIA S.A.
RUMO MALHA PAULISTA S.A.
TRIÂNGULO DO SOL AUTO-ESTRADAS S.A.
CONC ECOVIAS IMIGRANTES S.A.
SOMOS EDUCAÇÃO S.A.
CENTROVIAS-SISTEMAS RODOVIARIOS S/A
TIM PARTICIPACOES S.A.
TELEFÔNICA BRASIL S.A
CAPITALPART PARTICIPACOES S.A.
INNCORP S.A.
NEWTEL PARTICIPACOES S.A.
REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.
TERMINAL GARAGEM MENEZES CORTES S.A.
AUTOVIAS S/A
"PAN FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
SANESALTO SANEAMENTO S.A.
CONFIANZA SECURITIZADORA SA
BRAZILIAN FINANCE E REAL ESTATE S.A.
MASSA FALIDA DA MMX MINERACAO E METALICOS S.A.
SANTOS BRASIL PARTICIPACOES S.A.
BETAPART PARTICIPACOES S.A.
OPEA SECURITIZADORA S.A.
ALTERE SECURITIZADORA S.A.
GAMA PARTICIPACOES S.A.
COGNA EDUCAÇÃO S.A.
CCR S.A.
T4F ENTRETENIMENTO S.A.
JBS S.A.
ARTERIS S.A.
HYPERA S.A.
PDG REALTY S.A. EMPREEND E PARTICIPACOES
PROMPT PARTICIPACOES S.A.
RIO PARANAPANEMA ENERGIA S.A.
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA
TPI - TRIUNFO PARTICIP. E INVEST. S.A.
RODOVIAS DAS COLINAS S.A.
CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A
EQUATORIAL ENERGIA S.A.
DTCOM - DIRECT TO COMPANY S.A.
LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL
ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A
XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.
RB CAPITAL SECURITIZADORA S.A.
INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR
BRAZILIAN SECURITIES CIA SECURITIZACAO
TERMOPERNAMBUCO S.A.
SABER SERVIÇOS EDUCACIONAIS S.A.
BRADESPAR S.A.
MARFRIG GLOBAL FOODS S.A.
CPFL GERACAO DE ENERGIA S.A.
EDP - ENERGIAS DO BRASIL S.A.
CABINDA PARTICIPACOES S.A.
CACONDE PARTICIPACOES S.A.
ANDRADE GUTIERREZ PARTICIPACOES S.A.
ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL
CAIANDA PARTICIPACOES S.A.
SINQIA S.A.
ÁGUAS GUARIROBA S.A
AES TIETE ENERGIA SA
ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.
CIA PIRATININGA DE FORCA E LUZ
COMPANHIA PROVINCIA DE SECURITIZACAO
NCF PARTICIPAÇÕES S/A
COPEL GERAÇÃO E TRANSMISSÃO S.A.
ENEVA S.A
LOCAMÉRICA RENT-A-CAR S.A.
NOVA ACAO PARTICIPACOES S.A.
BIOMM S.A.
METALFRIO SOLUTIONS S.A.
EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.
BCO AMAZONIA S.A.
PORTUENSE FERRAGENS S/A
BCO ESTADO DO PARA S.A.
SER EDUCACIONAL S.A.
NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.
CACHOEIRA PAULISTA TRANSMISSORA ENERGIA S.A.
TARPON INVESTIMENTOS S.A.
LITELA PARTICIPAÇÕES S.A. - EM LIQUIDAÇÃO
WILSON SONS LTD.
SMILES FIDELIDADE S.A.
TERRA SANTA AGRO S.A.
ALLOS S.A.
CSA-COMPANHIA SECURITIZADORA DE ATIVOS
VENTOS DO SUL ENERGIA S.A.
REDE D'OR SÃO LUIZ S.A.
ALIANSCE SHOPPING CENTERS S.A.
BRPR 56 SECURITIZADORA CRED IMOB S.A.
GOL LINHAS AEREAS INTELIGENTES S.A.
EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.
EMPREENDIMENTOS PAGUE MENOS S.A.
LINX S.A.
BR MALLS PARTICIPACOES S.A.
BR PROPERTIES S.A.
CEMIG GERACAO E TRANSMISSAO S.A.
CEMIG DISTRIBUICAO S.A.
CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.
BETA SECURITIZADORA S.A.
CAGECE - CIA DE AGUA E ESGOTO DO CEARA
CLARO TELECOM PARTICIPAÇÕES S.A.
CIA ENERGETICA DO CEARA - COELCE
SECME - COMPANHIA SECURITIZADORA DE CRÉDITOS IMOBILIÁRIOS
M.DIAS BRANCO S.A. IND COM DE ALIMENTOS
BCO NORDESTE DO BRASIL S.A.
CARBOMIL SA MINER. E INDUSTRIA
PETROLEO LUB DO NORDESTE SA
ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S/A
MARINA DE IRACEMA PARK SA
ELDORADO BRASIL CELULOSE S.A.
CINESYSTEM S.A.
AMBEV S.A.
PLANETA SECURITIZADORA S.A.
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.
BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
DINAMICA ENERGIA S.A.
EMBRAER S.A.
BRPR 55 SECURITIZADORA CRED IMOB S.A.
SPRINGS GLOBAL PARTICIPACOES S.A.
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.
