SETOR_ATIV,DENOM_CIA,ticker,DT_FIM_EXERC,roe,margem_liquida,cagr_lucro_5a,dl_ebitda,p_l,rank_magic
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2025-03-31,23.98,14.89,,-0.4105809563758389,6.56,8.0
"Máquinas, Equipamentos, Veículos e Peças",MARCOPOLO S.A.,POMO4,2025-03-31,24.22,14.49,68.59,1.2801006248974092,6.99,52.0
Petróleo e Gás,PRIO S.A.,PRIO3,2025-03-31,31.16,46.67,37.81,1.704076197452724,3.27,57.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG3,2025-03-31,20.66,20.79,11.64,1.3844582089739936,4.47,34.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO BASICO EST SAO PAULO,SBSP3,2025-03-31,15.44,17.59,,1.070598284780086,12.33,47.0
Serviços Transporte e Logística,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.",MILS3,2025-03-31,18.24,16.48,,1.1447809851797393,7.38,32.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2025-03-31,25.78,19.53,25.43,-0.48410287132526,4.64,7.0
Têxtil e Vestuário,TRACK & FIELD CO S.A.,TFCO4,2025-03-31,28.75,16.35,40.68,0.4094928247478508,12.33,31.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2025-03-31,19.23,15.13,105.82,0.024679815938684218,9.76,40.0
Comércio (Atacado e Varejo),TECHNOS S.A.,TECN3,2025-06-30,18.28,15.66,,0.26557348603158076,4.51,17.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2025-06-30,67.71,19.84,41.59,-0.17033797912534665,7.6,16.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA TENDA S.A.,TEND3,2025-06-30,66.51,20.11,19.39,0.7009767116937722,3.11,21.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2025-06-30,107.28,23.52,,0.43632751854407453,7.49,22.0
Educação,SER EDUCACIONAL S.A.,SEER3,2025-06-30,24.75,13.8,5.38,0.3553827657181033,3.0,10.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",JHSF PARTICIPACOES S.A.,JHSF3,2025-06-30,15.33,49.54,23.94,2.285181184593339,3.27,27.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.,MELK3,2025-06-30,16.48,14.84,21.29,0.05867996974809471,3.02,30.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2025-06-30,17.41,192.98,17.64,0.1835923544122901,6.3,24.0
Emp. Adm. Part. - Petróleo e Gás,PETRORECÔNCAVO S.A.,RECV3,2025-06-30,21.46,29.53,,0.4074387756236382,3.74,36.0
Emp. Adm. Part. - Sem Setor Principal,CSU DIGITAL S.A.,CSUD3,2025-06-30,19.52,15.75,,,6.7,
Emp. Adm. Part. - Telecomunicações,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2025-06-30,14.28,15.79,32.87,0.21118947995464135,6.21,22.0
Energia Elétrica,CPFL GERACAO DE ENERGIA S.A.,CBEE3,2025-06-30,28.27,73.55,,-0.015291560098391882,6.09,17.0
Farmacêutico e Higiene,BLAU FARMACÊUTICA S.A.,BLAU3,2025-06-30,13.66,18.37,3.13,0.4163775394668737,6.67,13.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2025-06-30,19.55,13.74,15.29,-0.22624832054184382,5.44,22.0
"Máquinas, Equipamentos, Veículos e Peças",MARCOPOLO S.A.,POMO4,2025-06-30,30.39,13.93,68.59,,6.29,
Petroquímicos e Borracha,UNIPAR CARBOCLORO S.A.,UNIP6,2025-06-30,32.75,18.17,5.41,0.4432409099290899,5.62,19.0
Petróleo e Gás,ORIGEM ENERGIA S.A.,ISAE4,2025-06-30,70.32,53.89,,1.7668822523790073,13.7,42.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO BASICO EST SAO PAULO,SBSP3,2025-06-30,21.13,23.83,,0.999282259273431,8.41,34.0
"Saneamento, Serv. Água e Gás",CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,CSMG3,2025-06-30,17.05,17.77,11.64,,6.54,
Serviços Transporte e Logística,HIDROVIAS DO BRASIL S.A.,HBSA3,2025-06-30,14.7,13.01,,1.5677060474429263,14.87,35.0
Serviços Transporte e Logística,"MILLS LOCAÇÃO, SERVIÇOS E LOGÍSTICA S.A.",MILS3,2025-06-30,20.25,18.01,,,7.2,
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2025-06-30,26.2,20.22,25.43,-0.5319625032229548,4.41,8.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2025-06-30,59.97,39.48,105.82,0.10917853123929742,3.34,10.0
Bebidas e Fumo,AMBEV S.A.,ABEV3,2025-09-30,20.98,23.33,6.39,-0.37442719263808755,9.73,27.0
Comércio (Atacado e Varejo),OUROFINO S.A.,OFSA3,2025-09-30,30.72,15.35,19.9,0.6655034597947984,5.08,15.0
Comércio (Atacado e Varejo),TECHNOS S.A.,TECN3,2025-09-30,17.19,17.44,,0.21344432066674918,4.8,36.0
Comércio (Atacado e Varejo),INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA,INTB3,2025-09-30,18.62,13.15,8.08,-0.2573536352120023,6.16,41.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2025-09-30,83.93,21.69,,0.7177261715482002,9.25,7.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2025-09-30,68.99,19.99,41.59,-0.3140744988391821,8.51,23.0
"Construção Civil, Mat. Constr. e Decoração",LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,2025-09-30,25.62,27.97,31.33,0.06113155705306043,5.44,24.0
Educação,VITRU EDUCAÇÃO S.A.,VTRU3,2025-09-30,13.86,17.89,,1.3210873575553983,4.3,40.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",JHSF PARTICIPACOES S.A.,JHSF3,2025-09-30,18.13,58.92,23.94,1.7741229830214649,3.44,26.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",EZ TEC EMPREEND. E PARTICIPACOES S.A.,EZTC3,2025-09-30,14.25,39.63,5.7,0.05962277763239506,5.17,42.0
