SETOR_ATIV,DENOM_CIA,ticker,DT_FIM_EXERC,roe,margem_liquida,cagr_lucro_5a,dl_ebitda,p_l,rank_magic
Emp. Adm. Part. - Telecomunicações,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2022-06-30,14.08,21.46,,-0.3738362827184252,8.9,25.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2022-09-30,73.27,22.42,,-0.22149136945755063,3.56,3.0
Metalurgia e Siderurgia,CIA FERRO LIGAS DA BAHIA - FERBASA,FESA4,2022-09-30,36.46,36.04,,-0.3207155737101641,3.11,7.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2022-09-30,27.99,28.57,,0.042529722132620615,3.65,8.0
"Máquinas, Equipamentos, Veículos e Peças",TAURUS ARMAS S.A.,TASA4,2022-09-30,38.07,16.12,,0.30505306687852674,4.05,10.0
Emp. Adm. Part. - Petróleo e Gás,PETRORECÔNCAVO S.A.,RECV3,2022-09-30,23.08,26.33,,-0.5002852553586382,7.44,10.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2022-09-30,32.36,14.06,,0.5122320814847217,3.91,13.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2022-09-30,43.5,15.14,,-0.34165864503116977,7.4,17.0
Petróleo e Gás,PRIO S.A.,PRIO3,2022-09-30,34.31,39.9,,-0.014652249859173854,8.97,19.0
Emp. Adm. Part. - Telecomunicações,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2022-09-30,12.52,17.57,,-0.20747049926465977,8.26,21.0
Extração Mineral,CSN MINERAÇÃO S.A.,CMIN3,2022-09-30,15.62,18.87,,-0.26616383118642517,5.29,21.0
Emp. Adm. Part. - Intermediação Financeira,ITAÚSA S.A.,ITSA4,2022-09-30,19.6,168.95,,0.35541762894534257,4.74,21.0
Emp. Adm. Part. - Energia Elétrica,CPFL ENERGIA S.A.,CPFE3,2022-09-30,36.08,14.18,,0.5033432073409542,6.1,24.0
Comércio (Atacado e Varejo),OUROFINO S.A.,OFSA3,2022-09-30,24.68,15.96,,0.7399820832818486,6.25,27.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2022-09-30,24.3,14.75,,0.21774132278255381,6.69,28.0
"Construção Civil, Mat. Constr. e Decoração",CYRELA BRAZIL REALTY S.A.EMPREEND E PART,CYRE3,2022-09-30,16.81,19.85,,1.1567395094425,4.5,28.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2022-12-31,64.04,21.07,,-0.2768684229721038,3.98,5.0
Petroquímicos e Borracha,UNIPAR CARBOCLORO S.A.,UNIP6,2022-12-31,56.65,18.35,,-0.008062333523678366,4.67,5.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2022-12-31,46.77,17.0,,-0.27756053679939785,4.8,10.0
"Máquinas, Equipamentos, Veículos e Peças",TAURUS ARMAS S.A.,TASA4,2022-12-31,50.77,20.47,,0.22907240961421935,3.64,10.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2022-12-31,68.93,30.79,,-0.4470075337489005,4.3,13.0
Metalurgia e Siderurgia,CIA FERRO LIGAS DA BAHIA - FERBASA,FESA4,2022-12-31,34.94,33.85,,-0.4021189854444091,3.63,14.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2022-12-31,23.55,22.46,,0.20893525949705724,4.23,17.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2022-12-31,35.6,13.31,,0.03702086581707982,4.64,21.0
Metalurgia e Siderurgia,GERDAU S.A.,GGBR4,2022-12-31,24.79,13.93,,0.34786783994996257,3.84,23.0
Extração Mineral,VALE S.A.,VALE3,2022-12-31,49.43,42.53,,0.3870136442012145,3.12,24.0
Emp. Adm. Part. - Petróleo e Gás,PETRORECÔNCAVO S.A.,RECV3,2022-12-31,30.27,38.76,,-0.5799272974432732,5.61,26.0
Embalagens,IRANI PAPEL E EMBALAGEM S.A.,RANI3,2022-12-31,33.62,22.42,,1.087973044014345,3.63,28.0
"Agricultura (Açúcar, Álcool e Cana)",SLC AGRICOLA S.A.,SLCE3,2022-12-31,27.3,13.94,,0.7410177530604406,6.36,29.0
Extração Mineral,CSN MINERAÇÃO S.A.,CMIN3,2022-12-31,25.89,22.23,,0.28634304604703176,6.72,32.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2022-12-31,39.7,15.44,,-0.6793878333193831,8.72,34.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2023-03-31,43.06,18.19,,0.021393929335398687,3.04,7.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2023-03-31,36.42,16.81,,-0.3842469670356603,6.35,12.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2023-03-31,31.5,15.86,,-0.46302227962544396,4.88,12.0
Petroquímicos e Borracha,UNIPAR CARBOCLORO S.A.,UNIP6,2023-03-31,38.98,16.14,,0.01000674074013734,4.71,12.0
"Agricultura (Açúcar, Álcool e Cana)",SLC AGRICOLA S.A.,SLCE3,2023-03-31,41.38,18.7,,0.6167836152640749,3.14,12.0
"Agricultura (Açúcar, Álcool e Cana)",JALLES MACHADO S.A.,JALL3,2023-03-31,35.74,40.55,,1.1310692069973047,3.21,14.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2023-03-31,60.98,21.62,,-0.519595744680851,5.03,15.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2023-03-31,26.44,15.47,,0.2560687668901544,3.99,20.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2023-03-31,14.78,13.3,,0.24852156385689803,5.45,21.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2023-03-31,39.02,15.9,,-0.523597210828548,7.5,23.0
Energia Elétrica,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4,2023-03-31,24.53,16.17,,0.845216894244519,3.24,27.0
Emp. Adm. Part. - Petróleo e Gás,PETRORECÔNCAVO S.A.,RECV3,2023-03-31,19.49,27.74,,-0.2187146838897054,5.06,29.0
Emp. Adm. Part. - Energia Elétrica,CPFL ENERGIA S.A.,CPFE3,2023-03-31,34.41,16.78,,0.8146014065349733,4.91,31.0
"Agricultura (Açúcar, Álcool e Cana)",SAO MARTINHO S.A.,SMTO3,2023-03-31,17.18,15.33,,1.5575810081875365,8.95,31.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LPSB3,2023-03-31,15.33,17.56,,-1.0172870356556765,6.58,32.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2023-06-30,41.4,18.16,,0.47958619163531757,3.84,5.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2023-06-30,31.55,15.01,,-0.40884589670733745,6.81,9.0
"Construção Civil, Mat. Constr. e Decoração",LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,2023-06-30,22.3,25.79,,-1.5959899968993083,3.99,10.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2023-06-30,45.01,17.05,,-0.5213244609499205,8.25,13.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2023-06-30,17.87,17.16,,0.07071787089229638,5.03,14.0
"Construção Civil, Mat. Constr. e Decoração",PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,2023-06-30,53.51,14.47,,0.6500250735109754,6.85,18.0
Petroquímicos e Borracha,UNIPAR CARBOCLORO S.A.,UNIP6,2023-06-30,28.26,14.12,,-0.016471451648128948,8.15,19.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LPSB3,2023-06-30,16.98,17.91,,-0.6042965378344682,9.46,19.0
Comércio (Atacado e Varejo),TECHNOS S.A.,TECN3,2023-06-30,16.43,17.28,,-0.034063875341976926,3.08,21.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2023-06-30,29.34,19.19,,0.1304485669770644,6.94,23.0
"Construção Civil, Mat. Constr. e Decoração",DIRECIONAL ENGENHARIA S.A.,DIRR3,2023-06-30,28.5,18.96,,0.2690389403894039,5.96,24.0
Brinquedos e Lazer,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3,2023-06-30,22.83,25.14,,0.15527182223480587,12.19,26.0
"Construção Civil, Mat. Constr. e Decoração",AZEVEDO E TRAVASSOS S.A.,AZEV4,2023-06-30,141.96,28.61,,0.22759029649595688,7.71,27.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2023-06-30,31.52,28.08,,1.7157012659508883,10.56,27.0
"Agricultura (Açúcar, Álcool e Cana)",BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,AGRO3,2023-06-30,12.22,20.98,,1.2624521703804958,7.75,28.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2023-09-30,38.94,18.21,,0.20847639829284728,3.92,7.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2023-09-30,54.7,18.22,,-0.013091845696436772,3.8,8.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2023-09-30,34.4,16.87,,-0.45946016136292805,7.11,9.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2023-09-30,173.54,28.81,,-0.35782732813826096,5.35,15.0
"Agricultura (Açúcar, Álcool e Cana)",VITTIA S.A.,VITT3,2023-09-30,37.54,19.92,,0.370096735589389,4.64,15.0
"Construção Civil, Mat. Constr. e Decoração",PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,2023-09-30,48.64,13.96,,0.2956903928045529,5.03,16.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2023-09-30,39.08,16.42,,-0.16765136066807468,5.66,17.0
Petróleo e Gás,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,2023-09-30,27.62,21.44,,0.42986608173631957,3.09,17.0
Serviços Transporte e Logística,TEGMA GESTAO LOGISTICA S.A.,TGMA3,2023-09-30,27.44,13.19,,-0.20167065512712093,5.62,18.0
Energia Elétrica,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4,2023-09-30,20.26,13.13,,0.7554746831949316,3.62,21.0
Extração Mineral,VALE S.A.,VALE3,2023-09-30,28.26,26.88,,0.45447209023974466,4.13,22.0
Comércio (Atacado e Varejo),TECHNOS S.A.,TECN3,2023-09-30,15.38,18.18,,-0.1850179375938595,3.0,23.0
Farmacêutico e Higiene,BLAU FARMACÊUTICA S.A.,BLAU3,2023-09-30,20.09,27.28,,0.18266648764769067,6.06,25.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2023-09-30,25.7,17.45,,0.011710916286581361,6.94,28.0
"Construção Civil, Mat. Constr. e Decoração",LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,2023-09-30,15.47,25.12,,-1.8019834884209054,4.59,29.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2023-12-31,20.41,21.03,,0.1025644561822081,3.9,13.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2023-12-31,30.87,15.65,,-0.08442005985308787,5.28,14.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2023-12-31,33.77,16.22,,-0.38769493499312496,5.57,16.0
Extração Mineral,CSN MINERAÇÃO S.A.,CMIN3,2023-12-31,33.36,18.9,,-0.22825359103700474,8.08,18.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2023-12-31,28.62,15.85,,-0.6724023114433632,8.34,19.0
Petróleo e Gás,PETROLEO BRASILEIRO S.A. PETROBRAS,PETR4,2023-12-31,32.74,24.45,,0.7166623146595524,3.22,21.0
Metalurgia e Siderurgia,METISA METALURGICA TIMBOENSE S.A.,MTSA4,2023-12-31,19.66,15.24,,-1.4372696710522561,4.23,21.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2023-12-31,81.93,17.23,,0.5379154485745462,4.93,22.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LPSB3,2023-12-31,17.15,19.37,,-1.124418161639252,7.37,28.0
"Construção Civil, Mat. Constr. e Decoração",PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,2023-12-31,42.86,13.36,,-0.11220161037083558,6.92,29.0
Energia Elétrica,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4,2023-12-31,23.39,15.65,,0.8827869991786909,3.21,29.0
Petroquímicos e Borracha,UNIPAR CARBOCLORO S.A.,UNIP6,2023-12-31,32.33,16.16,,-0.058220910431822426,6.8,29.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2023-12-31,116.3,23.94,,-0.41596846587639547,6.99,31.0
Extração Mineral,VALE S.A.,VALE3,2023-12-31,20.45,19.49,,0.6165913716923993,5.76,34.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2023-12-31,21.41,14.43,,-0.41511589322918085,6.73,35.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2024-03-31,72.18,19.62,16.16,0.40376349575447773,4.14,7.0
Têxtil e Vestuário,CAMBUCI S.A.,CAMB3,2024-03-31,32.66,18.75,30.47,-0.21734703323150978,4.18,8.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2024-03-31,22.12,23.1,5.82,-0.03299735907130508,3.56,10.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2024-03-31,29.65,16.13,27.69,-0.6003411205292537,7.1,12.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2024-03-31,26.75,13.71,39.6,-0.26594278755768247,6.7,12.0
Energia Elétrica,ENGIE BRASIL ENERGIA S.A.,EGIE3,2024-03-31,57.17,64.55,13.24,1.2609864089570724,4.38,14.0
"Construção Civil, Mat. Constr. e Decoração",CURY CONSTRUTORA E INCORPORADORA S.A.,CURY3,2024-03-31,53.2,18.4,27.92,-0.5488617672744027,7.72,25.0
Emp. Adm. Part. - Energia Elétrica,CPFL ENERGIA S.A.,CPFE3,2024-03-31,32.41,17.26,15.96,0.9721998425953335,4.85,26.0
Emp. Adm. Part. - Sem Setor Principal,CSU DIGITAL S.A.,CSUD3,2024-03-31,21.67,17.4,,0.02887633666781649,6.13,27.0
"Construção Civil, Mat. Constr. e Decoração",DIRECIONAL ENGENHARIA S.A.,DIRR3,2024-03-31,29.76,25.24,43.21,0.19800821384018052,4.58,27.0
"Agricultura (Açúcar, Álcool e Cana)",SAO MARTINHO S.A.,SMTO3,2024-03-31,21.51,21.42,,1.3929948432402437,5.82,27.0
Energia Elétrica,REDE ENERGIA PARTICIPAÇÕES S.A.,REDE3,2024-03-31,45.83,15.86,15.32,1.7453147022862738,5.49,29.0
"Construção Civil, Mat. Constr. e Decoração",LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,2024-03-31,19.68,25.28,51.17,-0.18306465015788598,4.46,31.0
Extração Mineral,CSN MINERAÇÃO S.A.,CMIN3,2024-03-31,18.47,15.89,4.32,-0.46349573932623955,9.49,32.0
Emp. Adm. Part. - Telecomunicações,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2024-03-31,13.2,15.02,,-0.03177688421749144,7.1,34.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2024-06-30,58.0,13.82,16.16,0.4212569964112606,6.66,5.0
Seguradoras e Corretoras,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,WIZC3,2024-06-30,22.27,22.57,5.82,0.10073365304569436,3.13,10.0
Extração Mineral,VALE S.A.,VALE3,2024-06-30,27.35,28.19,,0.4168557960893855,3.8,11.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LPSB3,2024-06-30,23.04,27.84,,-0.6841035945523555,3.99,11.0
"Construção Civil, Mat. Constr. e Decoração",PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.,PLPL3,2024-06-30,55.01,14.9,,-0.0008264721780479588,5.16,16.0
Metalurgia e Siderurgia,SCHULZ S.A.,SHUL4,2024-06-30,19.21,13.59,21.31,-0.5146346951768348,7.2,16.0
Comunicação e Informática,VALID SOLUÇÕES S.A.,VLID3,2024-06-30,18.95,15.37,47.85,0.10223867584567893,3.48,16.0
Petróleo e Gás,PRIO S.A.,PRIO3,2024-06-30,31.97,30.9,65.0,0.44490281151742705,6.8,23.0
"Construção Civil, Mat. Constr. e Decoração",CONSTRUTORA METROCASA S.A.,TEND3,2024-06-30,169.95,24.64,,-0.38660121419085564,7.41,24.0
"Construção Civil, Mat. Constr. e Decoração",DIRECIONAL ENGENHARIA S.A.,DIRR3,2024-06-30,27.87,20.13,43.21,0.0005210837565867672,5.43,24.0
"Construção Civil, Mat. Constr. e Decoração",MOURA DUBEUX ENGENHARIA S/A,MDNE3,2024-06-30,20.5,19.1,,0.09499625325403804,3.75,24.0
Emp. Adm. Part. - Telecomunicações,UNIFIQUE TELECOMUNICAÇÕES S.A.,FIQE3,2024-06-30,14.66,16.11,,0.030433366238894373,6.01,25.0
Energia Elétrica,CIA ENERGETICA DE MINAS GERAIS - CEMIG,CMIG4,2024-06-30,25.32,17.9,17.88,0.8053923027281508,3.53,26.0
Têxtil e Vestuário,VULCABRAS S.A.,VULC3,2024-06-30,26.77,18.36,31.84,-0.06387913210273273,6.41,27.0
Comércio (Atacado e Varejo),TECHNOS S.A.,TECN3,2024-06-30,19.98,20.16,,-0.10791178929765886,3.62,27.0
"Máquinas, Equipamentos, Veículos e Peças",MAHLE METAL LEVE S.A.,LEVE3,2024-09-30,51.65,13.29,16.16,0.3548430515478768,5.94,5.0
"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,LPSB3,2024-09-30,14.87,15.85,,-0.5350376607571621,5.6,8.0
Serviços Transporte e Logística,TEGMA GESTAO LOGISTICA S.A.,TGMA3,2024-09-30,37.79,13.99,6.89,-0.1536828781310062,4.99,9.0
"Agricultura (Açúcar, Álcool e Cana)",VITTIA S.A.,VITT3,2024-09-30,29.98,14.82,5.32,0.40916551127543344,4.01,12.0
Metalurgia e Siderurgia,ELECTRO ACO ALTONA S.A.,EALT4,2024-09-30,28.53,13.26,31.61,0.5229980045552577,3.36,14.0
"Máquinas, Equipamentos, Veículos e Peças",METALURGICA RIOSULENSE S.A.,RSUL4,2024-09-30,26.96,15.12,27.69,-0.29266691326058814,5.69,15.0
Emp. Adm. Part. - Metalurgia e Siderurgia,KEPLER WEBER S.A.,KEPL3,2024-09-30,31.62,13.58,39.6,-0.15709583110660025,6.54,17.0
"Construção Civil, Mat. Constr. e Decoração",LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.,LAVV3,2024-09-30,22.54,23.35,51.17,-0.0830410256010963,3.47,17.0
Comunicação e Informática,VALID SOLUÇÕES S.A.,VLID3,2024-09-30,21.3,15.77,47.85,0.07546777546777547,4.33,20.0
Serviços Médicos,HOSPITAL MATER DEI S.A.,MATD3,2024-09-30,21.46,14.11,,0.7422868494811963,4.17,24.0
